Bid made: 2020/06/01 13:30:07.681355, BTC/USDT, Price: 11500, Amount: 6.058e-10
Bid made: 2020/06/01 13:30:22.700094, BTC/USDT, Price: 11500, Amount: 5.55215e-10
Bid made: 2020/06/01 13:30:37.717609, BTC/USDT, Price: 11497.8, Amount: 5.08954e-10
Bid made: 2020/06/01 13:30:52.738299, BTC/USDT, Price: 11500.6, Amount: 4.66342e-10
Bid made: 2020/06/01 13:31:07.758559, BTC/USDT, Price: 11502, Amount: 4.2735e-10
Bid made: 2020/06/01 13:31:22.778022, BTC/USDT, Price: 11506, Amount: 3.9153e-10
Bid made: 2020/06/01 13:31:37.795978, BTC/USDT, Price: 11506, Amount: 3.58837e-10
Bid made: 2020/06/01 13:31:52.814453, BTC/USDT, Price: 11496.6, Amount: 3.29145e-10
Bid made: 2020/06/01 13:32:07.832636, BTC/USDT, Price: 11496.7, Amount: 3.01658e-10
Bid made: 2020/06/01 13:32:22.853092, BTC/USDT, Price: 11494.6, Amount: 2.76519e-10
Bid made: 2020/06/01 13:32:37.872859, BTC/USDT, Price: 11506.1, Amount: 2.53177e-10
Bid made: 2020/06/01 13:32:52.892864, BTC/USDT, Price: 11503.2, Amount: 2.32096e-10
Bid made: 2020/06/01 13:33:07.912842, BTC/USDT, Price: 11502.5, Amount: 2.12729e-10
Bid made: 2020/06/01 13:33:22.931371, BTC/USDT, Price: 11494.5, Amount: 1.95101e-10
Bid made: 2020/06/01 13:33:37.951261, DOGE/USDT, Price: 0.00309468, Amount: 0.00066415
Bid made: 2020/06/01 13:34:23.008869, ETH/BTC, Price: 0.0300681, Amount: 6.39547
Bid made: 2020/06/01 13:34:38.029589, ETH/BTC, Price: 0.0300666, Amount: 5.86174
Bid made: 2020/06/01 13:34:53.048096, ETH/BTC, Price: 0.030062, Amount: 5.86263
Bid made: 2020/06/01 13:36:08.149351, ETH/BTC, Price: 0.0300879, Amount: 5.85759
Bid made: 2020/06/01 13:36:23.168635, ETH/BTC, Price: 0.0300724, Amount: 5.86062
Bid made: 2020/06/01 13:36:38.189044, ETH/BTC, Price: 0.0300771, Amount: 5.37024
Bid made: 2020/06/01 13:36:53.209112, ETH/BTC, Price: 0.0300695, Amount: 4.92304
Bid made: 2020/06/01 13:37:08.231259, ETH/BTC, Price: 0.0300634, Amount: 4.51288
Bid made: 2020/06/01 13:37:39.097538, BTC/USDT, Price: 11485.2, Amount: 1.64012e-10
Bid made: 2020/06/01 13:37:54.118053, BTC/USDT, Price: 11485.4, Amount: 1.50315e-10
Bid made: 2020/06/01 13:38:09.136891, BTC/USDT, Price: 11485.8, Amount: 1.37759e-10
Bid made: 2020/06/01 13:38:24.156057, BTC/USDT, Price: 11485.6, Amount: 1.26257e-10
Bid made: 2020/06/01 13:38:39.178107, BTC/USDT, Price: 11490.8, Amount: 1.15663e-10
Bid made: 2020/06/01 13:38:54.194924, BTC/USDT, Price: 11490.3, Amount: 1.06009e-10
Bid made: 2020/06/01 13:39:09.214719, BTC/USDT, Price: 11484.7, Amount: 9.72052e-11
Bid made: 2020/06/01 13:39:24.235134, BTC/USDT, Price: 11485.8, Amount: 8.90802e-11
Bid made: 2020/06/01 13:39:39.254464, BTC/USDT, Price: 11485.5, Amount: 8.16443e-11
Bid made: 2020/06/01 13:39:54.275511, DOGE/USDT, Price: 0.00309287, Amount: 0.000277872
Bid made: 2020/06/01 13:40:09.294213, DOGE/USDT, Price: 0.00309287, Amount: 0.00025467
Bid made: 2020/06/01 13:40:24.315002, DOGE/USDT, Price: 0.00309287, Amount: 0.000233405
Bid made: 2020/06/01 13:40:39.334655, BTC/USDT, Price: 11488.4, Amount: 5.75899e-11
